Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
CHMP6	ENSG00000176108	Q96FZ7	Charged multivesicular body protein 6	Evidence at transcript level	Low tissue specificity	NA		CHMP6_HUMAN	23485	75	79643	56	0	NA	NA	NA
CHMP7	ENSG00000147457	Q8WUX9	Charged multivesicular body protein 7	Evidence at protein level	Tissue enhanced	NA	lymphoid tissue: 33.1	CHMP7_HUMAN	50911	80	91782	51	0	NA	NA	NA
CHN1	ENSG00000128656	P15882	Chimerin 1	Evidence at protein level	Group enriched	11	brain: 696.2;choroid plexus: 234.1	CHIN_HUMAN	53172	22	1123	60	20	NA	NA	NA
CHN2	ENSG00000106069	P52757	Chimerin 2	Evidence at protein level	Tissue enhanced	NA	brain: 103.3;intestine: 70.8	CHIO_HUMAN	53924	17	1124	55	1	NA	NA	NA
CHODL	ENSG00000154645	Q9H9P2	Chondrolectin	Evidence at protein level	Tissue enhanced	NA	lymphoid tissue: 14.2;testis: 31.3	CHODL_HUMAN	30431	22	140578	17	3	NA	NA	NA
CHORDC1	ENSG00000110172	Q9UHD1	Cysteine and histidine rich domain containing 1	Evidence at transcript level	Tissue enhanced	NA	brain: 68.9	CHRD1_HUMAN	37490	18	26973	52	0	NA	NA	NA
CHP1	ENSG00000187446	Q99653	Calcineurin like EF-hand protein 1	Evidence at transcript level	Low tissue specificity	NA		CHP1_HUMAN	22456	57	11261	73	0	NA	NA	NA
CHP2	ENSG00000166869	O43745	Calcineurin like EF-hand protein 2	Evidence at protein level	Group enriched	16	intestine: 307.8;skin 1: 150.9	CHP2_HUMAN	22452	21	63928	21	0	NA	NA	NA
CHPF	ENSG00000123989	Q8IZ52	Chondroitin polymerizing factor	Evidence at protein level	Low tissue specificity	NA		CHSS2_HUMAN	85467	16	79586	41	0	NA	NA	NA
CHPF2	ENSG00000033100	Q9P2E5	Chondroitin polymerizing factor 2	Evidence at protein level	Low tissue specificity	NA		CHPF2_HUMAN	85948	9	54480	25	1	NA	NA	NA
CHPT1	ENSG00000111666	Q8WUD6	Choline phosphotransferase 1	Evidence at protein level	Low tissue specificity	NA		CHPT1_HUMAN	45097	16	56994	25	0	NA	NA	NA
CHRAC1	ENSG00000104472	Q9NRG0	Chromatin accessibility complex subunit 1	Evidence at transcript level	Low tissue specificity	NA		CHRC1_HUMAN	14711	20	54108	31	11	NA	NA	NA
CHRD	ENSG00000090539	Q9H2X0	Chordin	Evidence at transcript level	Tissue enhanced	NA	liver: 131.1	CHRD_HUMAN	102032	65	8646	38	0	NA	NA	NA
CHRDL1	ENSG00000101938	Q9BU40	Chordin like 1	Evidence at transcript level	Tissue enhanced	NA	adipose tissue: 190.0;seminal vesicle: 226.5	CRDL1_HUMAN	52026	16	91851	29	9	NA	NA	NA
CHRDL2	ENSG00000054938	Q6WN34	Chordin like 2	Evidence at protein level	Tissue enhanced	NA	endometrium 1: 146.3;gallbladder: 107.0;lymphoid tissue: 116.8;smooth muscle: 123.2	CRDL2_HUMAN	47495	7	25884	17	0	NA	NA	NA
CHRFAM7A	ENSG00000166664	Q494W8	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 4.2;parathyroid gland: 5.6	CRFM7_HUMAN	46218	17	89832	46	0	NA	NA	NA
CHRM1	ENSG00000168539	P11229	Cholinergic receptor muscarinic 1	Evidence at protein level	Group enriched	9	brain: 27.2;prostate: 29.9;salivary gland: 29.1	ACM1_HUMAN	51421	39	1128	124	0	NA	NA	NA
CHRM2	ENSG00000181072	P08172	Cholinergic receptor muscarinic 2	Evidence at transcript level	Tissue enhanced	NA	heart muscle: 36.5;intestine: 14.9	ACM2_HUMAN	51715	55	1129	155	22	NA	NA	NA
CHRM3	ENSG00000133019	P20309	Cholinergic receptor muscarinic 3	Evidence at protein level	Tissue enhanced	NA	brain: 11.1;salivary gland: 17.6	ACM3_HUMAN	66128	43	1131	184	0	NA	NA	NA
CHRM4	ENSG00000180720	P08173	Cholinergic receptor muscarinic 4	Evidence at protein level	Group enriched	4	brain: 14.5;intestine: 6.9;lymphoid tissue: 16.0;testis: 5.0	ACM4_HUMAN	53049	20	1132	50	3	NA	NA	NA
CHRM5	ENSG00000184984	P08912	Cholinergic receptor muscarinic 5	Evidence at transcript level	Tissue enriched	9	brain: 14.3	ACM5_HUMAN	60074	23	1133	37	1	NA	NA	NA
CHRNA1	ENSG00000138435	P02708	Cholinergic receptor nicotinic alpha 1 subunit	Evidence at protein level	Tissue enriched	8	skeletal muscle: 171.4	ACHA_HUMAN	54546	48	1134	72	7	NA	NA	NA
CHRNA10	ENSG00000129749	Q9GZZ6	Cholinergic receptor nicotinic alpha 10 subunit	Evidence at transcript level	Tissue enriched	24	skeletal muscle: 48.3	ACH10_HUMAN	49705	31	57053	18	0	NA	NA	NA
CHRNA2	ENSG00000120903	Q15822	Cholinergic receptor nicotinic alpha 2 subunit	Evidence at protein level	Group enriched	14	brain: 77.3;prostate: 29.3	ACHA2_HUMAN	59765	33	1135	49	0	NA	NA	NA
CHRNA3	ENSG00000080644	P32297	Cholinergic receptor nicotinic alpha 3 subunit	Evidence at protein level	Group enriched	6	adrenal gland: 39.6;lymphoid tissue: 66.4;retina: 53.9	ACHA3_HUMAN	57480	50	1136	225	343	NA	NA	NA
CHRNA4	ENSG00000101204	P43681	Cholinergic receptor nicotinic alpha 4 subunit	Evidence at transcript level	Tissue enhanced	NA	brain: 25.5;liver: 58.5;parathyroid gland: 12.8	ACHA4_HUMAN	69957	64	1137	207	7	NA	NA	NA
CHRNA5	ENSG00000169684	P30532	Cholinergic receptor nicotinic alpha 5 subunit	Evidence at transcript level	Low tissue specificity	NA		ACHA5_HUMAN	53054	33	1138	254	7	NA	NA	NA
CHRNA6	ENSG00000147434	Q15825	Cholinergic receptor nicotinic alpha 6 subunit	Evidence at transcript level	Group enriched	7	brain: 8.3;retina: 3.1	ACHA6_HUMAN	56898	28	8973	55	0	NA	NA	NA
CHRNA7	ENSG00000175344	P36544	Cholinergic receptor nicotinic alpha 7 subunit	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 7.9;intestine: 9.7	ACHA7_HUMAN	56449	112	1139	320	9	HGNC:1960	Brain	UBERON:0000955
CHRNA9	ENSG00000174343	Q9UGM1	Cholinergic receptor nicotinic alpha 9 subunit	No human protein/transcript evidence	Not detected	NA		ACHA9_HUMAN	54807	31	55584	42	1	NA	NA	NA
CHRNB1	ENSG00000170175	P11230	Cholinergic receptor nicotinic beta 1 subunit	Evidence at protein level	Tissue enhanced	NA	skeletal muscle: 159.7;tongue: 58.2	ACHB_HUMAN	56698	40	1140	34	12	NA	NA	NA
CHRNB2	ENSG00000160716	P17787	Cholinergic receptor nicotinic beta 2 subunit	Evidence at transcript level	Tissue enhanced	NA	brain: 17.9;retina: 8.3	ACHB2_HUMAN	57019	80	1141	124	1	NA	NA	NA
CHRNB3	ENSG00000147432	Q05901	Cholinergic receptor nicotinic beta 3 subunit	Evidence at protein level	Tissue enhanced	NA	brain: 11.0;retina: 3.8	ACHB3_HUMAN	52729	29	1142	65	1	NA	NA	NA
CHRNB4	ENSG00000117971	P30926	Cholinergic receptor nicotinic beta 4 subunit	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 3.0;retina: 2.7;testis: 5.9	ACHB4_HUMAN	56380	49	1143	134	0	NA	NA	NA
CHRND	ENSG00000135902	Q07001	Cholinergic receptor nicotinic delta subunit	Evidence at protein level	Tissue enriched	9	skeletal muscle: 58.1	ACHD_HUMAN	58895	35	1144	39	5	NA	NA	NA
CHRNE	ENSG00000108556	Q04844	Cholinergic receptor nicotinic epsilon subunit	Evidence at transcript level	Group enriched	8	heart muscle: 53.0;pituitary gland: 27.8	ACHE_HUMAN	54697	27	1145	53	5	NA	NA	NA
CHRNG	ENSG00000196811	P07510	Cholinergic receptor nicotinic gamma subunit	Evidence at transcript level	Tissue enriched	23	skeletal muscle: 32.3	ACHG_HUMAN	57883	32	1146	36	7	NA	NA	NA
CHST1	ENSG00000175264	O43916	Carbohydrate sulfotransferase 1	Evidence at transcript level	Tissue enhanced	NA	brain: 31.7;thyroid gland: 20.7	CHST1_HUMAN	46715	21	8534	28	0	NA	NA	NA
CHST10	ENSG00000115526	O43529	Carbohydrate sulfotransferase 10	Evidence at transcript level	Low tissue specificity	NA		CHSTA_HUMAN	42207	16	9486	25	1	NA	NA	NA
CHST11	ENSG00000171310	Q9NPF2	Carbohydrate sulfotransferase 11	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 39.4;choroid plexus: 50.2	CHSTB_HUMAN	41555	26	50515	47	10	NA	NA	NA
CHST12	ENSG00000136213	Q9NRB3	Carbohydrate sulfotransferase 12	Evidence at protein level	Low tissue specificity	NA		CHSTC_HUMAN	48414	12	55501	24	1	NA	NA	NA
CHST13	ENSG00000180767	Q8NET6	Carbohydrate sulfotransferase 13	Evidence at transcript level	Group enriched	11	liver: 60.1;testis: 18.5	CHSTD_HUMAN	38920	11	166012	12	1	NA	NA	NA
CHST14	ENSG00000169105	Q8NCH0	Carbohydrate sulfotransferase 14	Evidence at protein level	Low tissue specificity	NA		CHSTE_HUMAN	42997	15	113189	30	0	NA	NA	NA
CHST15	ENSG00000182022	Q7LFX5	Carbohydrate sulfotransferase 15	Evidence at protein level	Low tissue specificity	NA		CHSTF_HUMAN	64926	12	51363	26	1	NA	NA	NA
CHST2	ENSG00000175040	Q9Y4C5	Carbohydrate sulfotransferase 2	Evidence at protein level	Tissue enhanced	NA	brain: 51.3	CHST2_HUMAN	57857	21	9435	30	0	NA	NA	NA
CHST3	ENSG00000122863	Q7LGC8	Carbohydrate sulfotransferase 3	Evidence at protein level	Low tissue specificity	NA		CHST3_HUMAN	54706	18	9469	36	10	NA	NA	NA
CHST4	ENSG00000140835	Q8NCG5	Carbohydrate sulfotransferase 4	Evidence at protein level	Tissue enriched	6	gallbladder: 70.0	CHST4_HUMAN	45134	21	10164	29	6	NA	NA	NA
CHST5	ENSG00000135702	Q9GZS9	Carbohydrate sulfotransferase 5	Evidence at protein level	Tissue enriched	11	intestine: 85.8	CHST5_HUMAN	46161	18	23563	21	1	NA	NA	NA
CHST6	ENSG00000183196	Q9GZX3	Carbohydrate sulfotransferase 6	Evidence at transcript level	Tissue enhanced	NA	brain: 13.5;cervix: 9.5	CHST6_HUMAN	44099	22	4166	57	1	NA	NA	NA
CHST7	ENSG00000147119	Q9NS84	Carbohydrate sulfotransferase 7	Evidence at transcript level	Tissue enhanced	NA	ovary: 35.6	CHST7_HUMAN	54266	17	56548	20	0	NA	NA	NA
CHST8	ENSG00000124302	Q9H2A9	Carbohydrate sulfotransferase 8	Evidence at protein level	Group enriched	25	brain: 29.8;pituitary gland: 64.4	CHST8_HUMAN	48834	16	64377	21	0	NA	NA	NA
CHST9	ENSG00000154080	Q7L1S5	Carbohydrate sulfotransferase 9	Evidence at transcript level	Tissue enhanced	NA	salivary gland: 13.9	CHST9_HUMAN	52055	15	83539	22	0	NA	NA	NA
CHSY1	ENSG00000131873	Q86X52	Chondroitin sulfate synthase 1	Evidence at transcript level	Low tissue specificity	NA		CHSS1_HUMAN	91784	27	22856	31	0	NA	NA	NA
CHSY3	ENSG00000198108	Q70JA7	Chondroitin sulfate synthase 3	Evidence at transcript level	Low tissue specificity	NA		CHSS3_HUMAN	100284	11	337876	13	0	NA	NA	NA
CHTF18	ENSG00000127586	Q8WVB6	Chromosome transmission fidelity factor 18	Evidence at protein level	Tissue enhanced	NA	testis: 11.8	CTF18_HUMAN	107383	21	63922	49	14	NA	NA	NA
CHTF8	ENSG00000168802	P0CG13	Chromosome transmission fidelity factor 8	Evidence at transcript level	Low tissue specificity	NA		CTF8_HUMAN	13314	10	54921	34	1	NA	NA	NA
CHTOP	ENSG00000160679	Q9Y3Y2	Chromatin target of PRMT1	Evidence at protein level	Low tissue specificity	NA		CHTOP_HUMAN	26397	39	26097	102	0	NA	NA	NA
CHUK	ENSG00000213341	O15111	Component of inhibitor of nuclear factor kappa B kinase complex	Evidence at protein level	Low tissue specificity	NA		IKKA_HUMAN	84640	167	1147	527	44	NA	NA	NA
CHURC1	ENSG00000258289	Q8WUH1	Churchill domain containing 1	Evidence at transcript level	Low tissue specificity	NA		CHUR_HUMAN	16111	4	91612	16	2	NA	NA	NA
CHURC1-FNTB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
CIAO1	ENSG00000144021	O76071	Cytosolic iron-sulfur assembly component 1	Evidence at transcript level	Low tissue specificity	NA		CIAO1_HUMAN	37840	46	9391	58	1	NA	NA	NA
CIAO2A	ENSG00000166797	Q9H5X1	Cytosolic iron-sulfur assembly component 2A	Evidence at protein level	Tissue enhanced	NA	liver: 264.5	CIA2A_HUMAN	18355	35	84191	20	NA	NA	NA	NA
CIAO2B	ENSG00000166595	Q9Y3D0	Cytosolic iron-sulfur assembly component 2B	Evidence at protein level	Low tissue specificity	NA		CIA2B_HUMAN	17663	52	51647	62	NA	NA	NA	NA
CIAO3	ENSG00000103245	Q9H6Q4	Cytosolic iron-sulfur assembly component 3	Evidence at protein level	Low tissue specificity	NA		CIAO3_HUMAN	53020	14	64428	27	NA	NA	NA	NA
CIAPIN1	ENSG00000005194	Q6FI81	Cytokine induced apoptosis inhibitor 1	Evidence at protein level	Low tissue specificity	NA		CPIN1_HUMAN	33582	31	57019	69	14	NA	NA	NA
CIART	ENSG00000159208	Q8N365	Circadian associated repressor of transcription	Evidence at protein level	Low tissue specificity	NA		CIART_HUMAN	41443	17	148523	19	0	NA	NA	NA
CIB1	ENSG00000185043	Q99828	Calcium and integrin binding 1	Evidence at protein level	Low tissue specificity	NA		CIB1_HUMAN	21703	131	10519	94	45	NA	NA	NA
CIB2	ENSG00000136425	O75838	Calcium and integrin binding family member 2	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 48.3	CIB2_HUMAN	21644	30	10518	33	6	HGNC:24579	Thoracic thymus	UBERON:0002370
CIB3	ENSG00000141977	Q96Q77	Calcium and integrin binding family member 3	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 1.2	CIB3_HUMAN	21802	67	117286	9	0	NA	NA	NA
CIB4	ENSG00000157884	A0PJX0	Calcium and integrin binding family member 4	Evidence at transcript level	Tissue enriched	7	testis: 17.5	CIB4_HUMAN	21745	12	130106	10	1	NA	NA	NA
CIBAR1	ENSG00000188343	A1XBS5	CBY1 interacting BAR domain containing 1	Evidence at protein level	Tissue enriched	4	testis: 111.2	FA92A_HUMAN	33431	24	137392	27	NA	NA	NA	NA
CIBAR2	ENSG00000153789	Q6ZTR7	CBY1 interacting BAR domain containing 2	Evidence at protein level	Tissue enriched	5	fallopian tube: 86.3	CBAR2_HUMAN	34755	7	339145	9	NA	NA	NA	NA
CIC	ENSG00000079432	Q96RK0	Capicua transcriptional repressor	Evidence at protein level	Low tissue specificity	NA		CIC_HUMAN	163820	20	23152	99	0	NA	NA	NA
CIDEA	ENSG00000176194	O60543	Cell death inducing DFFA like effector a	Evidence at transcript level	Group enriched	23	adipose tissue: 223.3;breast: 108.9	CIDEA_HUMAN	24687	23	1149	37	6	NA	NA	NA
CIDEB	ENSG00000136305	Q9UHD4	Cell death inducing DFFA like effector b	Evidence at transcript level	Tissue enhanced	NA	liver: 313.3	CIDEB_HUMAN	24678	81	27141	34	9	NA	NA	NA
CIDEC	ENSG00000187288	Q96AQ7	Cell death inducing DFFA like effector c	Evidence at transcript level	Group enriched	7	adipose tissue: 738.8;breast: 497.0	CIDEC_HUMAN	26754	18	63924	45	2	NA	NA	NA
CIITA	ENSG00000179583	P33076	Class II major histocompatibility complex transactivator	Evidence at protein level	Tissue enhanced	NA	lymphoid tissue: 57.7	C2TA_HUMAN	123514	40	4261	216	4	NA	NA	NA
CILK1	ENSG00000112144	Q9UPZ9	Ciliogenesis associated kinase 1	Evidence at protein level	Low tissue specificity	NA		CILK1_HUMAN	71427	31	22858	46	NA	NA	NA	NA
CILP	ENSG00000138615	O75339	Cartilage intermediate layer protein	Evidence at transcript level	Low tissue specificity	NA		CILP1_HUMAN	132565	18	8483	31	6	NA	NA	NA
CILP2	ENSG00000160161	Q8IUL8	Cartilage intermediate layer protein 2	Evidence at transcript level	Tissue enhanced	NA	testis: 5.6	CILP2_HUMAN	126291	4	148113	31	0	HGNC:24213	Brain	UBERON:0000955
CINP	ENSG00000100865	Q9BW66	Cyclin dependent kinase 2 interacting protein	Evidence at transcript level	Low tissue specificity	NA		CINP_HUMAN	24324	54	51550	23	2	NA	NA	NA
CIP2A	ENSG00000163507	Q8TCG1	Cellular inhibitor of PP2A	Evidence at protein level	Tissue enhanced	NA	bone marrow: 7.5;lymphoid tissue: 6.9	CIP2A_HUMAN	102185	10	57650	180	8	NA	NA	NA
CIPC	ENSG00000198894	Q9C0C6	CLOCK interacting pacemaker	Evidence at protein level	Tissue enhanced	NA	skeletal muscle: 133.4	CIPC_HUMAN	42692	11	85457	21	1	NA	NA	NA
CIR1	ENSG00000138433	Q86X95	Corepressor interacting with RBPJ, CIR1	Evidence at protein level	Low tissue specificity	NA		CIR1_HUMAN	52313	28	9541	30	2	NA	NA	NA
CIRBP	ENSG00000099622	Q14011	Cold inducible RNA binding protein	Evidence at protein level	Low tissue specificity	NA		CIRBP_HUMAN	18648	40	1153	134	3	NA	NA	NA
CISD1	ENSG00000122873	Q9NZ45	CDGSH iron sulfur domain 1	Evidence at protein level	Tissue enhanced	NA	parathyroid gland: 83.0	CISD1_HUMAN	12199	12	55847	74	4	NA	NA	NA
CISD2	ENSG00000145354	Q8N5K1	CDGSH iron sulfur domain 2	Evidence at protein level	Tissue enhanced	NA	liver: 46.4	CISD2_HUMAN	15278	79	493856	83	1	NA	NA	NA
CISD3	ENSG00000277972	P0C7P0	CDGSH iron sulfur domain 3	Evidence at transcript level	Low tissue specificity	NA		CISD3_HUMAN	14216	7	284106	18	0	NA	NA	NA
CISH	ENSG00000114737	Q9NSE2	Cytokine inducible SH2 containing protein	Evidence at transcript level	Tissue enhanced	NA	liver: 61.2	CISH_HUMAN	28663	27	1154	78	2	NA	NA	NA
CIT	ENSG00000122966	O14578	Citron rho-interacting serine/threonine kinase	Evidence at transcript level	Tissue enhanced	NA	brain: 20.7	CTRO_HUMAN	231431	41	11113	87	2	NA	NA	NA
CITED1	ENSG00000125931	Q99966	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	Evidence at protein level	Tissue enriched	7	epididymis: 1486.5	CITE1_HUMAN	19896	78	4435	29	30	NA	NA	NA
CITED2	ENSG00000164442	Q99967	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	Evidence at protein level	Low tissue specificity	NA		CITE2_HUMAN	28497	101	10370	85	6	NA	NA	NA
CITED4	ENSG00000179862	Q96RK1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	Evidence at transcript level	Low tissue specificity	NA		CITE4_HUMAN	18569	7	163732	14	10	NA	NA	NA
CIZ1	ENSG00000148337	Q9ULV3	CDKN1A interacting zinc finger protein 1	Evidence at protein level	Low tissue specificity	NA		CIZ1_HUMAN	100045	10	25792	53	5	NA	NA	NA
CKAP2	ENSG00000136108	Q8WWK9	Cytoskeleton associated protein 2	Evidence at protein level	Tissue enhanced	NA	bone marrow: 68.4	CKAP2_HUMAN	76987	13	26586	77	3	NA	NA	NA
CKAP2L	ENSG00000169607	Q8IYA6	Cytoskeleton associated protein 2 like	Evidence at protein level	Group enriched	4	bone marrow: 13.3;lymphoid tissue: 12.2;testis: 4.6	CKP2L_HUMAN	83587	8	150468	25	0	NA	NA	NA
CKAP4	ENSG00000136026	Q07065	Cytoskeleton associated protein 4	Evidence at protein level	Low tissue specificity	NA		CKAP4_HUMAN	66022	22	10970	197	95	NA	NA	NA
CKAP5	ENSG00000175216	Q14008	Cytoskeleton associated protein 5	Evidence at protein level	Low tissue specificity	NA		CKAP5_HUMAN	225495	84	9793	151	1	NA	NA	NA
CKB	ENSG00000166165	P12277	Creatine kinase B	Evidence at protein level	Tissue enhanced	NA	brain: 700.3	KCRB_HUMAN	42644	28	1152	181	33	NA	NA	NA
CKLF	ENSG00000217555	Q9UBR5	Chemokine like factor	Evidence at transcript level	Low tissue specificity	NA		CKLF_HUMAN	17170	12	51192	32	2	HGNC:13253	Thoracic thymus	UBERON:0002370
CKLF-CMTM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
CKM	ENSG00000104879	P06732	Creatine kinase, M-type	Evidence at protein level	Group enriched	13	skeletal muscle: 74254.4;tongue: 26289.9	KCRM_HUMAN	43101	15	1158	129	46	NA	NA	NA
CKMT1A	ENSG00000223572	P12532	Creatine kinase, mitochondrial 1A	Evidence at protein level	Tissue enhanced	NA	esophagus: 84.5;intestine: 75.7	KCRU_HUMAN	47037	18	548596	67	1	NA	NA	NA
CKMT1B	ENSG00000237289	P12532	Creatine kinase, mitochondrial 1B	Evidence at protein level	Tissue enhanced	NA	brain: 59.0;esophagus: 74.9;intestine: 81.5	KCRU_HUMAN	47037	18	1159	56	7	NA	NA	NA
CKMT2	ENSG00000131730	P17540	Creatine kinase, mitochondrial 2	Evidence at protein level	Group enriched	48	heart muscle: 1102.4;skeletal muscle: 1444.3;tongue: 2345.0	KCRS_HUMAN	47504	13	1160	38	1	NA	NA	NA
CKS1B	ENSG00000173207	P61024	CDC28 protein kinase regulatory subunit 1B	Evidence at transcript level	Low tissue specificity	NA		CKS1_HUMAN	9660	94	1163	113	10	NA	NA	NA
CKS2	ENSG00000123975	P33552	CDC28 protein kinase regulatory subunit 2	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 178.8;testis: 188.0	CKS2_HUMAN	9860	17	1164	59	19	NA	NA	NA
CLASP1	ENSG00000074054	Q7Z460	Cytoplasmic linker associated protein 1	Evidence at transcript level	Low tissue specificity	NA		CLAP1_HUMAN	169451	112	23332	91	6	NA	NA	NA
CLASP2	ENSG00000163539	O75122	Cytoplasmic linker associated protein 2	Evidence at protein level	Tissue enhanced	NA	brain: 175.0;retina: 127.5	CLAP2_HUMAN	141064	78	23122	114	0	NA	NA	NA
CLASRP	ENSG00000104859	Q8N2M8	CLK4 associating serine/arginine rich protein	Evidence at protein level	Low tissue specificity	NA		CLASR_HUMAN	77161	10	11129	40	1	NA	NA	NA
CLBA1	ENSG00000140104	Q96F83	Clathrin binding box of aftiphilin containing 1	Evidence at transcript level	Low tissue specificity	NA		CLBA1_HUMAN	35690	4	122616	11	0	NA	NA	NA
CLC	ENSG00000105205	Q05315	Charcot-Leyden crystal galectin	Evidence at protein level	Tissue enriched	11	bone marrow: 456.3	LEG10_HUMAN	16453	12	1178	42	13	HGNC:2014	Blood, Bone marrow	UBERON:0000178, UBERON:0002371
CLCA1	ENSG00000016490	A8K7I4	Chloride channel accessory 1	Evidence at protein level	Tissue enriched	13	intestine: 1411.7	CLCA1_HUMAN	100226	15	1179	52	11	NA	NA	NA
CLCA2	ENSG00000137975	Q9UQC9	Chloride channel accessory 2	Evidence at protein level	Tissue enhanced	NA	esophagus: 118.6;skin 1: 89.4;vagina: 53.5	CLCA2_HUMAN	103941	20	9635	43	9	NA	NA	NA
CLCA4	ENSG00000016602	Q14CN2	Chloride channel accessory 4	Evidence at transcript level	Tissue enhanced	NA	esophagus: 376.9;intestine: 260.2	CLCA4_HUMAN	101283	12	22802	22	0	NA	NA	NA
CLCC1	ENSG00000121940	Q96S66	Chloride channel CLIC like 1	Evidence at protein level	Low tissue specificity	NA		CLCC1_HUMAN	62023	13	23155	57	0	NA	NA	NA
CLCF1	ENSG00000175505	Q9UBD9	Cardiotrophin like cytokine factor 1	Evidence at transcript level	Low tissue specificity	NA		CLCF1_HUMAN	25176	41	23529	33	5	NA	NA	NA
CLCN1	ENSG00000188037	P35523	Chloride voltage-gated channel 1	Evidence at transcript level	Tissue enriched	4	skeletal muscle: 66.5	CLCN1_HUMAN	108626	24	1180	135	0	NA	NA	NA
CLCN2	ENSG00000114859	P51788	Chloride voltage-gated channel 2	Evidence at transcript level	Tissue enhanced	NA	intestine: 16.4	CLCN2_HUMAN	98535	17	1181	62	11	NA	NA	NA
CLCN3	ENSG00000109572	P51790	Chloride voltage-gated channel 3	Evidence at protein level	Low tissue specificity	NA		CLCN3_HUMAN	90966	55	1182	86	0	NA	NA	NA
CLCN4	ENSG00000073464	P51793	Chloride voltage-gated channel 4	Evidence at protein level	Tissue enhanced	NA	brain: 33.2;retina: 38.2;skeletal muscle: 45.3;tongue: 34.5	CLCN4_HUMAN	84917	31	1183	30	1	NA	NA	NA
CLCN5	ENSG00000171365	P51795	Chloride voltage-gated channel 5	Evidence at protein level	Group enriched	4	epididymis: 23.9;kidney: 46.6;liver: 17.0	CLCN5_HUMAN	90785	25	1184	105	2	NA	NA	NA
CLCN6	ENSG00000011021	P51797	Chloride voltage-gated channel 6	Evidence at transcript level	Low tissue specificity	NA		CLCN6_HUMAN	97289	23	1185	37	1	NA	NA	NA
CLCN7	ENSG00000103249	P51798	Chloride voltage-gated channel 7	Evidence at protein level	Low tissue specificity	NA		CLCN7_HUMAN	88679	33	1186	102	4	NA	NA	NA
CLCNKA	ENSG00000186510	P51800	Chloride voltage-gated channel Ka	Evidence at transcript level	Tissue enhanced	NA	kidney: 96.7;parathyroid gland: 49.3	CLCKA_HUMAN	75285	12	1187	30	0	HGNC:2026	Kidney	UBERON:0002113
CLCNKB	ENSG00000184908	P51801	Chloride voltage-gated channel Kb	Evidence at transcript level	Tissue enriched	4	kidney: 209.5	CLCKB_HUMAN	75446	12	1188	60	1	NA	NA	NA
CLDN1	ENSG00000163347	O95832	Claudin 1	Evidence at protein level	Tissue enhanced	NA	liver: 312.4;skin 1: 274.8	CLD1_HUMAN	22744	67	9076	271	16	HGNC:2032	Kidney	UBERON:0002113
CLDN10	ENSG00000134873	P78369	Claudin 10	Evidence at protein level	Tissue enhanced	NA	kidney: 79.2;pancreas: 218.3;salivary gland: 92.3	CLD10_HUMAN	24488	21	9071	44	1	NA	NA	NA
CLDN11	ENSG00000013297	O75508	Claudin 11	Evidence at protein level	Group enriched	5	brain: 111.8;ovary: 96.2;testis: 117.8	CLD11_HUMAN	21993	33	5010	52	3	NA	NA	NA
CLDN12	ENSG00000157224	P56749	Claudin 12	Evidence at protein level	Low tissue specificity	NA		CLD12_HUMAN	27110	11	9069	44	2	NA	NA	NA
CLDN14	ENSG00000159261	O95500	Claudin 14	Evidence at protein level	Tissue enriched	6	liver: 39.8	CLD14_HUMAN	25699	15	23562	44	1	NA	NA	NA
CLDN15	ENSG00000106404	P56746	Claudin 15	Evidence at transcript level	Tissue enriched	6	intestine: 262.2	CLD15_HUMAN	24356	11	24146	27	2	NA	NA	NA
CLDN16	ENSG00000113946	Q9Y5I7	Claudin 16	Evidence at protein level	Tissue enriched	7	kidney: 64.2	CLD16_HUMAN	33836	15	10686	49	2	HGNC:2037	Kidney	UBERON:0002113
CLDN17	ENSG00000156282	P56750	Claudin 17	Evidence at protein level	Group enriched	5	esophagus: 6.2;salivary gland: 6.5;vagina: 7.3	CLD17_HUMAN	24603	14	26285	25	1	NA	NA	NA
CLDN18	ENSG00000066405	P56856	Claudin 18	Evidence at protein level	Group enriched	50	lung: 254.4;stomach 1: 731.4	CLD18_HUMAN	27856	18	51208	55	1	NA	NA	NA
